id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,Age_Group,Alto_Riesgo
1,male,44,1,28.0,0,> 2 years,yes,40454.0,26.0,217,1,41-50 años,1
3,male,47,1,28.0,0,> 2 years,yes,38294.0,26.0,27,1,41-50 años,1
6,female,24,1,33.0,0,< 1 year,yes,2630.0,160.0,176,0,20-30 años,1
7,male,23,1,11.0,0,< 1 year,yes,23367.0,152.0,249,0,20-30 años,1
8,female,56,1,28.0,0,1-2 year,yes,32031.0,26.0,72,1,51-60 años,1
11,female,47,1,35.0,0,1-2 year,yes,47576.0,124.0,46,1,41-50 años,1
14,male,76,1,28.0,0,1-2 year,yes,36770.0,13.0,15,0,60+ años,1
16,male,37,1,6.0,0,1-2 year,yes,2630.0,156.0,147,1,31-40 años,1
17,female,25,1,45.0,0,< 1 year,yes,26218.0,160.0,256,0,20-30 años,1
19,male,42,1,28.0,0,1-2 year,yes,33667.0,124.0,158,0,41-50 años,1
20,female,60,1,33.0,0,1-2 year,yes,32363.0,124.0,102,1,51-60 años,1
21,male,65,1,28.0,0,1-2 year,yes,41184.0,124.0,116,0,60+ años,1
22,male,49,1,28.0,0,1-2 year,yes,50791.0,124.0,177,0,41-50 años,1
24,male,44,1,28.0,0,1-2 year,yes,41852.0,163.0,60,0,41-50 años,1
27,female,51,1,28.0,0,1-2 year,yes,38341.0,124.0,49,1,51-60 años,1
30,male,57,1,11.0,0,1-2 year,yes,25679.0,157.0,232,1,51-60 años,1
32,male,79,1,28.0,0,1-2 year,yes,57444.0,26.0,222,0,60+ años,1
33,female,48,1,28.0,0,1-2 year,yes,36951.0,122.0,149,0,41-50 años,1
34,female,24,1,36.0,0,< 1 year,yes,43129.0,152.0,49,0,20-30 años,1
39,male,45,1,8.0,0,1-2 year,yes,42297.0,124.0,264,0,41-50 años,1
41,male,30,1,30.0,0,< 1 year,yes,24550.0,124.0,45,0,20-30 años,1
46,male,56,1,28.0,0,1-2 year,yes,34617.0,124.0,71,0,51-60 años,1
52,male,22,1,16.0,0,< 1 year,yes,30673.0,152.0,216,0,20-30 años,1
55,female,44,1,28.0,0,1-2 year,yes,45415.0,13.0,73,0,41-50 años,1
56,female,20,1,47.0,0,< 1 year,yes,25380.0,160.0,171,0,20-30 años,1
57,male,39,1,28.0,0,1-2 year,yes,57582.0,26.0,141,0,31-40 años,1
58,male,54,1,28.0,0,1-2 year,yes,25205.0,26.0,283,1,51-60 años,1
59,female,62,1,48.0,0,1-2 year,yes,2630.0,15.0,295,0,60+ años,1
61,male,49,1,8.0,0,1-2 year,yes,2630.0,156.0,30,0,41-50 años,1
62,female,20,1,50.0,0,< 1 year,yes,36615.0,160.0,218,0,20-30 años,1
63,female,62,1,28.0,0,> 2 years,yes,33830.0,26.0,130,0,60+ años,1
65,male,39,1,15.0,0,1-2 year,yes,37849.0,124.0,22,0,31-40 años,1
66,female,59,1,30.0,0,1-2 year,yes,34426.0,26.0,147,0,51-60 años,1
67,male,41,1,28.0,0,1-2 year,yes,42268.0,154.0,36,0,41-50 años,1
68,male,60,1,28.0,0,1-2 year,yes,66338.0,124.0,73,0,51-60 años,1
70,female,50,1,41.0,0,1-2 year,yes,2630.0,26.0,81,1,41-50 años,1
71,male,44,1,47.0,0,1-2 year,yes,46481.0,16.0,100,0,41-50 años,1
72,female,27,1,11.0,0,< 1 year,yes,34587.0,26.0,63,0,20-30 años,1
79,male,29,1,28.0,0,1-2 year,yes,42567.0,26.0,167,1,20-30 años,1
81,male,54,1,26.0,0,1-2 year,yes,35493.0,22.0,74,0,51-60 años,1
84,female,39,1,5.0,0,1-2 year,yes,31760.0,26.0,141,0,31-40 años,1
85,male,69,1,28.0,0,1-2 year,yes,29802.0,122.0,158,0,60+ años,1
86,female,21,1,17.0,0,< 1 year,yes,27756.0,160.0,243,0,20-30 años,1
87,female,54,1,47.0,0,> 2 years,yes,32873.0,26.0,248,0,51-60 años,1
88,male,25,1,23.0,0,< 1 year,yes,23537.0,152.0,58,0,20-30 años,1
90,female,20,1,36.0,0,< 1 year,yes,46275.0,160.0,281,1,20-30 años,1
93,male,77,1,28.0,0,1-2 year,yes,36099.0,124.0,139,0,60+ años,1
95,female,23,1,15.0,0,< 1 year,yes,41641.0,152.0,209,0,20-30 años,1
97,male,50,1,28.0,0,1-2 year,yes,46995.0,52.0,291,0,41-50 años,1
98,female,62,1,28.0,0,> 2 years,yes,41892.0,155.0,114,0,60+ años,1
99,female,21,1,2.0,0,< 1 year,yes,34274.0,152.0,79,0,20-30 años,1
103,female,20,1,30.0,0,< 1 year,yes,33227.0,160.0,78,0,20-30 años,1
106,female,44,1,28.0,0,1-2 year,yes,50521.0,26.0,22,1,41-50 años,1
108,male,31,1,29.0,0,1-2 year,yes,28867.0,124.0,247,0,31-40 años,1
110,male,45,1,35.0,0,1-2 year,yes,2630.0,124.0,275,0,41-50 años,1
112,female,48,1,46.0,0,> 2 years,yes,37379.0,11.0,139,0,41-50 años,1
114,male,50,1,30.0,0,1-2 year,yes,34271.0,26.0,229,1,41-50 años,1
116,female,32,1,46.0,0,1-2 year,yes,34810.0,26.0,166,0,31-40 años,1
117,male,69,1,46.0,0,1-2 year,yes,2630.0,11.0,16,0,60+ años,1
121,male,39,1,3.0,0,1-2 year,yes,37239.0,26.0,216,1,31-40 años,1
123,male,37,1,13.0,0,1-2 year,yes,30440.0,124.0,293,0,31-40 años,1
124,male,34,1,18.0,0,1-2 year,yes,38232.0,124.0,156,1,31-40 años,1
126,male,49,1,28.0,0,1-2 year,yes,2630.0,124.0,88,0,41-50 años,1
128,female,22,1,25.0,0,< 1 year,yes,23955.0,160.0,22,0,20-30 años,1
129,female,22,1,20.0,0,< 1 year,yes,2630.0,152.0,219,0,20-30 años,1
131,male,50,1,28.0,0,1-2 year,yes,57389.0,26.0,155,1,41-50 años,1
136,female,43,1,41.0,0,1-2 year,yes,2630.0,26.0,19,1,41-50 años,1
137,female,59,1,39.0,0,1-2 year,yes,32775.0,124.0,158,0,51-60 años,1
138,female,23,1,36.0,0,< 1 year,yes,33638.0,160.0,22,0,20-30 años,1
144,female,32,1,46.0,0,1-2 year,yes,27320.0,156.0,204,0,31-40 años,1
146,male,23,1,28.0,0,< 1 year,yes,56589.0,152.0,144,0,20-30 años,1
149,female,38,1,28.0,0,1-2 year,yes,34471.0,124.0,234,1,31-40 años,1
151,male,25,1,8.0,0,< 1 year,yes,54385.0,152.0,206,0,20-30 años,1
152,male,27,1,28.0,0,< 1 year,yes,26732.0,152.0,282,0,20-30 años,1
153,male,51,1,19.0,0,1-2 year,yes,2630.0,124.0,228,0,51-60 años,1
156,female,49,1,28.0,0,1-2 year,yes,32771.0,154.0,29,0,41-50 años,1
157,female,41,1,28.0,0,1-2 year,yes,54740.0,124.0,212,1,41-50 años,1
158,male,41,1,35.0,0,1-2 year,yes,25112.0,154.0,221,0,41-50 años,1
159,female,23,1,47.0,0,< 1 year,yes,28737.0,152.0,18,0,20-30 años,1
167,female,28,1,44.0,0,1-2 year,yes,37570.0,156.0,258,1,20-30 años,1
168,female,26,1,8.0,0,< 1 year,yes,89282.0,152.0,101,0,20-30 años,1
173,female,50,1,28.0,0,1-2 year,yes,36282.0,26.0,237,0,41-50 años,1
179,male,46,1,28.0,0,1-2 year,yes,60478.0,26.0,128,1,41-50 años,1
180,female,45,1,46.0,0,1-2 year,yes,22689.0,26.0,95,0,41-50 años,1
182,male,52,1,0.0,0,1-2 year,yes,2630.0,124.0,89,0,51-60 años,1
185,female,51,1,28.0,0,1-2 year,yes,57008.0,26.0,208,0,51-60 años,1
187,male,48,1,8.0,0,> 2 years,yes,44021.0,124.0,135,0,41-50 años,1
188,male,42,1,37.0,0,1-2 year,yes,36532.0,124.0,268,0,41-50 años,1
189,female,45,1,28.0,0,1-2 year,yes,25604.0,26.0,85,0,41-50 años,1
198,male,42,1,3.0,0,1-2 year,yes,32293.0,124.0,105,1,41-50 años,1
200,female,42,1,28.0,0,1-2 year,yes,40613.0,124.0,242,0,41-50 años,1
201,male,55,1,28.0,0,1-2 year,yes,49470.0,124.0,203,0,51-60 años,1
202,female,41,1,28.0,0,1-2 year,yes,22561.0,124.0,207,1,41-50 años,1
205,female,30,1,28.0,0,< 1 year,yes,39104.0,122.0,263,1,20-30 años,1
